Name,Description,Code,Client Application,Contact Manager,Contact Viewer,Rule Admin,Superuser,Tools View,User Admin
Manage attributes,"Permission to create, edit, or delete user attributes",attrmanage,,,,,x,,x
View attributes,Permission to view the list of user attributes or attribute details,attrview,,,,,x,,x
Manage business week,"Permission to create, edit, or delete business week",buswkmanage,,,,,x,,
View business week,Permission to view the list of business week,buswkview,,,,,x,,
Client Application,Client Application (should not access via UI),clientapp,x,,,,x,,
Create local contacts,Permission to create a new local contact,ctccreate,,,,,,,
Edit local contacts,Permission to edit an existing local contact,ctcedit,,,,,,,
View local contacts,Permission to view and search local contact entries,ctcview,,,,,,,
Always access debug tools,"Permission to access debug tools, even when they are disabled by a configuration parameter",debugtools,,,,,x,,x
Create documents,Permission to add documents,doccreate,,,,,,,
Delete documents,Permission to remove documents,docdelete,,,,,,,
Edit documents,Permission to edit documents,docedit,,,,,x,,
Modify all documents,"Permission to edit or delete all documents, regardless of the permissions set on the individual documents",docmodifyall,,,,,,,
View documents,Permission to view documents,docview,,,,,x,,
View all documents,"Permission to view all documents, regardless of the permissions set on the individual documents",docviewall,,,,,,,
View event messages,Permission to view the event messages page,eventmessageview,,,,,x,,x
Resolve flag entries,Permission to resolve flag entries,flagentryresolve,,,,,,,
Create groups,Permission to create groups,groupcreate,,,,,x,,x
Delete groups,Permission to delete groups,groupdelete,,,,,x,,x
Edit groups,Permission to edit groups,groupedit,,,,,x,,x
View group tree,Permission to see the user/group tree on the Administration tab,grouptreeview,,,,,x,,x
View groups,Permission to view details of a group,groupview,,,,,x,,x
Manage holidays,"Permission to create, edit, and delete holidays",holidaymanage,,,,,x,,x
View holidays,Permission to view a list of holidays or holiday details,holidayview,,,,,x,,x
Administer integration,Permission to administer integration events,integadmin,,,,,x,,
All internal tools,Permission to access all Internal Tools,internaltools,,,,,x,,
Print listviews,Permission to print listviews,lvprint,,,,,,,
Manage load factors,Permission to modify the load factors on all users and groups,manageldfctrs,,,,,,,
Create notes,Permission to add notes,notecreate,,,,,,,
Delete notes,Permission to remove notes,notedelete,,,,,,,
Edit note,Permission to edit the notes,noteedit,,,,,,,
Edit note body,Permission to edit the body of notes,noteeditbody,,,,,,,
View notes,Permission to view notes,noteview,,,,,x,,
Create organization,Permission to create an organization.,orgcreate,,,,,x,,
Delete organization,Permission to delete an organization.,orgdelete,,,,,x,,
Edit organization basic info,Permission to edit an organization's basic info.,orgeditbasic,,,,,x,,
Search for organization,Permission to search for organizations.,orgsearch,,,,,x,,
View organization basic info,Permission to view an organization's basic info.,orgviewbasic,,,,,x,,
Purge objects,Permission to purge objects from the database,purge,,,,,x,,
Manage regions,"Permission to create, edit, and delete regions",regionmanage,,,,,x,,x
View regions,Permission to view the list of regions and region details,regionview,,,,,x,,x
Administer reports,Administer report server settings,reporting_admin,,,,,,,
View Report tab,"Permission to view the Report tab, if the add-on reporting module is installed",reporting_view,,,,,,,
Resync message,Permission to resync message,resyncmessage,,,,,x,,x
Retry message,Permission to try to resend the failed message,retrymessage,,,,,x,,x
View review summary details,Permission view the Review Summary page to see the category scores for each summarized Review,revsumviewdetail,,,,,x,,
View review summaries list,Permission to view the list of Reviews Summaries and the reviews tab on an ABContact,revsumviewlist,,,,,x,,
Manage roles,"Permission to create, edit, or delete roles",rolemanage,,,,,x,,x
View roles,Permission to view the list of roles and role details,roleview,,,,,x,,x
Administer rules,Permission to run Guidewire Studio or import rules,ruleadmin,,,,x,x,,
Manage script parameters,"Permission to create, edit, or delete script parameters",scrprmmanage,,,,,x,,x
View script parameters,Permission to view the list of script parameters or details of an individual script parameter,scrprmview,,,,,x,,x
Manage security zones,"Permission to create, edit, and delete security zones",seczonemanage,,,,,x,,x
Skip message,Permission to skip the failed message,skipmessage,,,,,x,,x
SOAP administration,Permission to use the SOAP APIs,soapadmin,,,,,x,,x
Edit BatchProcess tools page,Permission to edit the BatchProcess Internal Tools page,toolsBatchProcessedit,,,,,x,,
View BatchProcess tools page,Permission to access the BatchProcess Internal Tools page,toolsBatchProcessview,,,,,x,x,
View Cache Info page,Permission to view the CacheInfo Internal Tools page,toolsCacheinfoview,,,,,x,x,
Edit Cluster tools page,Permission to edit the Cluster Internal Tools page,toolsClusteredit,,,,,x,,
View Cluster tools page,Permission to access the Cluster Internal Tools page,toolsClusterview,,,,,x,x,
View Info tools page,Permission to access the Info Internal Tools page,toolsInfoview,,,,,x,x,
Edit ManagementBeans tools page,Permission to edit the ManagementBeans presented on Internal Tools page,toolsJMXBeansEdit,,,,,x,,
View ManagementBeans tools page,Permission to access the ManagementBeans Internal Tools page,toolsJMXBeansview,,,,,x,x,
Edit JProfiler tools page,Permission to edit the JProfiler Internal Tools page,toolsJProfileredit,,,,,x,,
Edit Log tools page,Permission to edit the Log Internal Tools page,toolsLogedit,,,,,x,,
View Log tools page,Permission to access the Log Internal Tools page,toolsLogview,,,,,x,x,
Edit StartablePlugin tools page,Permission to edit the StartablePlugin Internal Tools page,toolsPluginedit,,,,,x,,
View StartablePlugin tools page,Permission to access the StartablePlugin Internal Tools page,toolsPluginview,,,,,x,x,
Edit Profiler tools page,Permission to edit the Profiler Internal Tools page,toolsProfileredit,,,,,x,,
View Profiler tools page,Permission to access the Profiler Internal Tools page,toolsProfilerview,,,,,x,x,
Edit WorkQueue tools page,Permission to edit the WorkQueue Internal Tools page,toolsWorkQueueedit,,,,,x,,
View WorkQueue tools page,Permission to access the WorkQueue Internal Tools page,toolsWorkQueueview,,,,,x,x,
Create users,Permission to create a new user,usercreate,,,,,x,,x
Delete users,Permission to delete a user (Note: if a user has had any activity it's recommended to make them non-active rather than delete),userdelete,,,,,x,,x
Edit users,"Permission to edit an existing user, except for roles, authority limits, or attributes",useredit,,,,,x,,x
Edit user attributes,Permission to edit attributes for a user,usereditattrs,,,,,x,,x
Edit user language,Permission to edit language,usereditlang,x,x,x,x,x,,x
Grant authority limits,Permission to grant or change an authority limit for a user,usergrantauth,,,,,,,
Grant roles to users,Permission to grant or revoke roles,usergrantroles,,,,,x,,x
View user,Permission to view details of a user,userview,,,,,x,,x
View all users,Permission to see users in all visible groups,userviewall,,,,,x,,
View activity calendar,Permission to view activity calendar of other users,viewactcal,,,,,,,
View Desktop,Permission to view the Desktop,viewdesktop,,,,,,,
View Search,Permission to view the Search tab,viewsearch,,,,,,,
View Team,Permission to view the Team tab,viewteam,,,,,,,
View global workload,Permission to view global workload statistics of other users,viewworkload,,,,,,,
Manage workflow,Permission to view the ManageWorkflow page,workflowmanage,,,,,x,,
View workflow,Permission to view the Workflow page,workflowview,,,,,x,,
Add Data Change,Permission to add a data change gosu program.,wsdatachangeedit,,,,,x,,
Manage admin zones,"Permission to create, edit, or delete admin zones",zonemanage,,,,,x,,
View admin zones,Permission to view the list of admin zones,zoneview,,,,,x,,
